"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ezreal","ADC",78,"37.5%","34.6%","72.1%","54%","35%",235,107,322,5.2,"64.9%","13.7%","18%",143,-18,-2.8,10,"30.6%",687,"37.3%","27.1%",0.5,0.32
"Fiddlesticks","Support",3,"1.4%","1.4%","2.9%","33%","100%",4,10,21,2.5,"55.6%","20.8%","33%",-672,447,-10.7,0.7,"3.0%",188,"11.2%","8.7%",1.32,0.36
"Fiora","Top",10,"4.8%","2.9%","7.7%","80%","100%",31,15,23,3.6,"43.2%","20.8%","0%",191,31,10,10.5,"29.4%",455,"25.6%","26.2%",0.53,0.17
"Fizz","-",0,"0%","1.0%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Middle",33,"15.9%","41.3%","80.3%","48%","45%",63,73,201,3.6,"74.8%","21.5%","27%",-147,-74,-5,8.6,"23.5%",347,"22.1%","21.0%",0.5,0.15
"Galio","Support",47,"22.6%","41.3%","80.3%","51%","21%",32,139,312,2.5,"68.8%","27.5%","40%",66,118,1.4,2.2,"6.8%",162,"10.1%","10.8%",1.69,0.34
"Galio","Top",1,"0.5%","41.3%","80.3%","100%","0%",1,1,11,12,"92.3%","33.3%","100%",143,51,5,8.2,"22.0%",527,"23.0%","18.8%",0.47,0.16
"Gangplank","Top",6,"2.9%","1.4%","4.3%","50%","100%",16,21,36,2.5,"69.3%","25.9%","0%",-304,-479,-11.7,8.4,"25.2%",490,"27.9%","23.9%",0.46,0.16
"Gnar","Top",6,"2.9%","0.0%","2.9%","67%","100%",12,15,33,3,"52.9%","23.8%","17%",-303,-230,-12.3,8.4,"23.8%",321,"19.8%","21.2%",0.55,0.21
"Gragas","Jungle",19,"9.1%","13.0%","30.3%","58%","42%",48,41,124,4.2,"76.4%","18.0%","47%",36,36,-1.3,5,"13.2%",313,"19.3%","16.9%",0.77,0.47
"Gragas","Support",17,"8.2%","13.0%","30.3%","24%","71%",14,52,83,1.9,"65.5%","18.8%","41%",-323,-70,-9.3,1,"4.1%",196,"11.5%","9.3%",1.29,0.34
"Irelia","Middle",7,"3.4%","33.2%","42.3%","57%","43%",20,13,19,3,"58.2%","18.8%","14%",17,-188,4.6,9.6,"25.8%",333,"22.4%","24.9%",0.47,0.23
"Irelia","Top",12,"5.8%","33.2%","42.3%","0%","100%",21,44,21,1,"56.0%","27.2%","8%",85,-9,9.2,9,"26.0%",270,"20.3%","24.6%",0.49,0.15
"Jarvan IV","Jungle",47,"22.6%","8.7%","34.6%","45%","36%",88,125,355,3.5,"84.2%","23.7%","40%",-11,-53,2.5,4.8,"11.9%",178,"11.1%","15.7%",1.18,0.64
"Jarvan IV","Support",3,"1.4%","8.7%","34.6%","67%","0%",2,13,42,3.4,"88.0%","43.3%","67%",-309,226,-8.7,0.7,"2.2%",231,"11.2%","9.7%",1.23,0.34
