"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","CSPM","DPM","DMG%","GOLD%","WPM","WCPM"
"Taliyah","ADC",1,"0.3%","0.0%","2.4%","0%","100%",0,5,4,0.8,"80.0%","27.8%",8.3,248,"19.9%","21.5%",0.57,0.24
"Kayle","Middle",1,"0.3%","1.0%","2.1%","0%","100%",2,4,1,0.8,"60.0%","22.2%",8.2,243,"19.5%","25.2%",0.49,0.2
"Swain","Middle",1,"0.3%","0.7%","2.1%","0%","100%",2,4,2,1,"80.0%","16.7%",8.4,506,"31.4%","29.5%",0.39,0.16
"Pyke","ADC",1,"0.3%","0.3%","1.7%","0%","0%",10,6,5,2.5,"75.0%","19.4%",5.5,407,"19.7%","23.9%",0.27,0.35
"Zilean","Middle",1,"0.3%","0.0%","0.7%","0%","100%",0,1,0,0,"-","8.3%",7.2,175,"19.2%","20.1%",0.34,0.15
"Zilean","Support",1,"0.3%","0.0%","0.7%","0%","100%",0,4,1,0.3,"50.0%","33.3%",1.2,255,"21.3%","9.6%",1.15,0.69
"Ekko","Middle",1,"0.3%","0.0%","0.3%","100%","100%",4,1,4,8,"61.5%","20.0%",9.9,340,"23.4%","25.6%",0.48,0.23
"Janna","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,2,4,2,"66.7%","13.3%",0.5,54,"4.6%","9.9%",1.35,0.33
"Jhin","ADC",1,"0.3%","0.0%","0.3%","100%","0%",8,0,4,12,"80.0%","0.0%",10.4,824,"44.4%","31.8%",0.28,0.47
"Maokai","Top",1,"0.3%","0.0%","0.3%","0%","100%",0,3,3,1,"75.0%","21.4%",6.7,216,"23.1%","18.0%",0.32,0.09
"Nami","Support",1,"0.3%","0.0%","0.3%","0%","100%",2,3,3,1.7,"62.5%","17.6%",0.3,278,"12.9%","10.0%",1.66,0.22
"Orianna","Middle",1,"0.3%","0.0%","0.3%","0%","100%",0,3,2,0.7,"40.0%","20.0%",9.9,254,"19.7%","25.3%",0.54,0.09
"Rumble","Top",1,"0.3%","0.0%","0.3%","0%","100%",0,4,3,0.8,"60.0%","30.8%",7.6,191,"19.9%","17.2%",0.51,0.03
"Shen","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,5,3,0.6,"75.0%","27.8%",2,94,"7.6%","12.9%",1.43,0.32
"Trundle","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",0,1,2,2,"66.7%","7.1%",4.1,101,"6.4%","12.5%",0.54,0.45
"Twisted Fate","Middle",1,"0.3%","0.0%","0.3%","0%","100%",1,2,0,0.5,"50.0%","16.7%",9.8,221,"27.1%","28.9%",0.42,0.09
"Twitch","ADC",1,"0.3%","0.0%","0.3%","0%","100%",4,2,7,5.5,"47.8%","11.8%",9.7,612,"26.9%","26.1%",0.35,0.6
"Veigar","Support",1,"0.3%","0.0%","0.3%","0%","100%",1,3,2,1,"50.0%","13.6%",0.6,140,"9.5%","10.1%",1.21,0.2
"Zed","Middle",1,"0.3%","0.0%","0.3%","100%","100%",1,1,4,5,"55.6%","16.7%",8.3,316,"14.5%","22.3%",0.28,0.63
"Azir","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
