"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kayn","Top",1,"1.1%","0.0%","1.1%","100%","100%",7,6,19,4.3,"63.4%","23.1%","0%",207,566,-2,5.3,"26.3%",811,"27.9%","21.8%",0.47,0.19
"Kennen","Top",15,"16.5%","18.7%","35.2%","20%","60%",41,50,49,1.8,"49.2%","21.3%","27%",263,-1,4.5,8,"24.1%",442,"25.7%","23.2%",0.51,0.21
"Kha'Zix","Jungle",1,"1.1%","0.0%","2.2%","100%","100%",6,5,10,3.2,"39.0%","19.2%","0%",-276,-324,-3,4.9,"21.6%",360,"12.4%","16.2%",0.32,0.28
"Kha'Zix","Top",1,"1.1%","0.0%","2.2%","0%","0%",1,4,3,1,"50.0%","17.4%","0%",-53,-363,-14,7.6,"20.2%",287,"15.2%","19.1%",0.4,0.31
"Kindred","Jungle",1,"1.1%","1.1%","2.2%","100%","100%",7,1,2,9,"64.3%","33.3%","100%",1317,1318,22,5.1,"12.4%",363,"22.3%","19.9%",0.36,0.52
"Kled","Top",5,"5.5%","5.5%","11.0%","80%","40%",10,11,30,3.6,"52.6%","22.4%","20%",-211,-124,-5.8,7.4,"23.2%",318,"18.2%","20.1%",0.43,0.18
"LeBlanc","Middle",1,"1.1%","7.7%","8.8%","0%","100%",0,5,1,0.2,"16.7%","33.3%","0%",44,-160,-12,7.2,"16.4%",450,"24.0%","16.9%",0.53,0.18
"Lee Sin","Jungle",19,"20.9%","13.2%","35.2%","58%","68%",62,59,118,3.1,"67.4%","24.7%","37%",74,-187,-6.8,4.3,"12.0%",221,"12.1%","16.1%",0.82,0.32
"Lee Sin","Middle",1,"1.1%","13.2%","35.2%","0%","100%",6,12,12,1.5,"69.2%","24.5%","0%",-1488,-825,-37,4.6,"22.0%",557,"21.7%","21.4%",0.45,0.04
"Leona","Support",1,"1.1%","0.0%","1.1%","0%","100%",1,6,8,1.5,"75.0%","28.6%","0%",-92,37,12,1.6,"5.7%",84,"5.6%","8.2%",1.13,0.2
"Lucian","ADC",18,"19.8%","12.1%","31.9%","39%","67%",67,60,93,2.7,"62.0%","18.6%","28%",127,170,12.8,9.4,"31.6%",451,"23.0%","26.5%",0.39,0.31
"Lux","Support",13,"14.3%","14.3%","28.6%","38%","46%",13,35,119,3.8,"72.9%","21.2%","15%",102,24,-6.7,0.6,"2.5%",217,"12.3%","10.2%",1.24,0.4
"Malzahar","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mordekaiser","Top",6,"6.6%","18.7%","25.3%","33%","67%",15,19,18,1.7,"44.6%","22.9%","0%",-410,-117,-11,7.2,"21.3%",375,"20.9%","19.7%",0.44,0.11
"Morgana","Support",4,"4.4%","3.3%","7.7%","50%","50%",2,9,29,3.4,"68.9%","18.4%","0%",45,-52,-1.8,0.6,"2.2%",200,"12.1%","9.6%",1.47,0.4
"Nautilus","Support",23,"25.3%","18.7%","44.0%","52%","65%",25,87,162,2.1,"59.0%","26.9%","30%",16,94,9.7,1.7,"5.4%",155,"8.7%","9.5%",1.47,0.29
