"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kled","Top",1,"0.4%","0.9%","1.3%","0%","100%",0,1,1,1,"100.0%","12.5%","0%",-627,-183,-24,8.1,"25.3%",226,"28.2%","22.0%",0.32,0.13
"Kog'Maw","ADC",1,"0.4%","0.4%","0.9%","0%","100%",8,5,3,2.2,"52.4%","16.7%","0%",94,-250,5,10.1,"34.4%",1219,"34.5%","32.7%",0.31,0.49
"LeBlanc","Middle",36,"16.1%","56.1%","72.2%","58%","42%",126,64,167,4.6,"70.1%","14.8%","22%",104,163,5.6,8.3,"24.0%",543,"29.3%","23.9%",0.44,0.34
"Lee Sin","Jungle",48,"21.5%","11.2%","32.7%","27%","65%",96,129,220,2.4,"72.1%","20.8%","42%",49,-49,-2.3,5.3,"15.9%",190,"11.8%","17.8%",0.63,0.42
"Leona","Support",14,"6.3%","5.4%","11.7%","36%","64%",7,68,86,1.4,"55.4%","32.7%","29%",-10,40,0.8,1.1,"2.8%",115,"6.3%","8.4%",1.85,0.49
"Lissandra","Middle",3,"1.3%","0.9%","2.2%","33%","100%",7,9,14,2.3,"65.6%","16.4%","0%",92,-60,-0.3,7.9,"23.7%",447,"22.0%","22.7%",0.61,0.17
"Lucian","ADC",3,"1.3%","23.8%","35.4%","0%","100%",1,8,6,0.9,"63.6%","18.2%","0%",-28,-59,-6.7,10.3,"35.6%",331,"20.9%","28.5%",0.4,0.65
"Lucian","Middle",9,"4.0%","23.8%","35.4%","56%","67%",19,18,42,3.4,"69.3%","17.5%","33%",71,107,4.9,9.7,"29.1%",436,"26.6%","26.0%",0.5,0.44
"Lucian","Top",14,"6.3%","23.8%","35.4%","29%","57%",37,34,51,2.6,"65.7%","19.9%","21%",160,101,11.7,9.1,"28.9%",521,"30.8%","26.6%",0.47,0.36
"Lulu","Support",4,"1.8%","0.0%","1.8%","50%","50%",0,5,39,7.8,"78.0%","9.4%","0%",-74,74,-0.3,0.9,"2.0%",83,"3.4%","8.6%",1.5,0.28
"Lux","Support",1,"0.4%","0.0%","0.4%","0%","100%",0,3,1,0.3,"33.3%","15.8%","0%",-350,-532,-10,0.9,"3.4%",111,"9.3%","7.9%",2.04,0.49
"Malphite","-",0,"0%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Support",3,"1.3%","2.2%","5.4%","67%","33%",7,5,20,5.4,"71.1%","20.8%","0%",866,663,59.7,7.7,"21.3%",394,"19.2%","19.5%",0.42,0.17
"Maokai","Top",4,"1.8%","2.2%","5.4%","0%","75%",1,20,6,0.4,"77.8%","31.7%","0%",-329,-183,-2.5,7,"19.7%",361,"26.9%","20.2%",0.44,0.1
"Miss Fortune","ADC",114,"51.1%","5.4%","56.5%","46%","46%",420,202,444,4.3,"74.5%","15.9%","21%",-41,-79,0.9,10.6,"36.7%",527,"30.4%","29.9%",0.44,0.45
"Mordekaiser","Middle",1,"0.4%","9.4%","20.2%","100%","100%",8,2,6,7,"58.3%","16.7%","0%",-233,-225,-6,9.8,"30.4%",456,"19.6%","26.5%",0.57,0.19
"Mordekaiser","Top",23,"10.3%","9.4%","20.2%","35%","74%",63,88,65,1.5,"53.3%","25.7%","17%",-408,-291,-13.5,7.6,"23.7%",415,"25.7%","21.9%",0.47,0.14
"Morgana","ADC",2,"0.9%","5.4%","12.1%","50%","100%",5,4,6,2.8,"50.0%","20.0%","0%",428,555,31,6.3,"18.9%",350,"20.8%","19.0%",0.57,0.21
"Morgana","Support",13,"5.8%","5.4%","12.1%","69%","100%",20,21,117,6.5,"80.6%","19.6%","15%",-144,-127,-12.2,1,"2.9%",192,"9.9%","10.0%",1.6,0.41
